entry_date,entry_price,exit_date,exit_price,side,quantity,pnl,roi,exit_reason,regime,leverage
96.0,41171.77229605292,103.0,40051.60815947365,SELL,0.0323846475139758,181.38060360458311,1.813806036045831,stop_loss,trending_down,5
133.0,39540.07472624397,138.0,40248.34925593023,BUY,0.034332697224593596,121.58487489804949,1.215848748980495,stop_loss,trending_up,5
155.0,38661.66622371143,157.0,38656.47611868801,SELL,0.03553206223751687,0.9220756735562472,0.009220756735562472,stop_loss,trending_down,5
160.0,40009.40952809273,162.0,39409.26838517134,BUY,0.03433821418747766,-103.03887554176187,-1.0303887554176188,stop_loss,trending_up,5
163.0,37785.40724354531,167.0,36771.84937043194,SELL,0.03599572576748169,182.41875625030468,1.824187562503047,stop_loss,trending_down,5
177.0,39935.58442704929,181.0,39336.55066064355,BUY,0.03466671836275735,-103.83267434884729,-1.0383267434884729,stop_loss,trending_up,5
243.0,48446.03087275107,244.0,46992.64994656854,SELL,0.028291095817628592,205.5886952107187,2.055886952107187,take_profit,trending_down,5
244.0,46949.206270087314,248.0,44083.20285210903,SELL,0.029776927843902685,426.7038848875888,4.267038848875888,stop_loss,trending_down,5
270.0,46832.69932755694,272.0,46913.10880871117,BUY,0.031065836469843316,12.489938960811424,0.12489938960811424,stop_loss,trending_up,5
285.0,42896.0523547451,286.0,43539.493140066275,SELL,0.03395562584408499,-109.24217279595004,-1.0924217279595003,stop_loss,trending_down,5
286.0,44503.32897655,288.0,43168.2291072535,SELL,0.03240199585218388,216.29950213598224,2.1629950213598224,signal_reverse,trending_up,5
288.0,41355.09579787031,290.0,41789.304789288726,BUY,0.01333726158301285,28.95579450121811,0.28955794501218113,stop_loss,volatile,5
326.0,36999.3015705735,327.0,36703.307158008916,BUY,0.05978615775943644,-88.48184322749003,-0.8848184322749003,stop_loss,quiet,5
423.0,27199.78874155848,426.0,27592.13257623897,BUY,0.05378349890610249,105.5081210167711,1.055081210167711,stop_loss,trending_up,5
439.0,27426.591775970544,449.0,27197.86588135282,SELL,0.05385166226854232,61.58634814511949,0.6158634814511948,stop_loss,trending_up,5
457.0,27980.72208710748,460.0,28072.866930081243,SELL,0.07961798122788981,-36.68193189066028,-0.3668193189066028,stop_loss,quiet,5
477.0,29066.703654962792,480.0,28976.986517879595,BUY,0.050927279677203036,-22.845248660369577,-0.2284524866036958,stop_loss,trending_up,5
501.0,28124.96125511045,505.0,28261.814266112702,SELL,0.05252423638121593,-35.94049949681692,-0.3594049949681692,stop_loss,trending_down,5
541.0,31170.982678072527,544.0,31638.547418243612,SELL,0.04723784494648579,-110.4337534932281,-1.104337534932281,stop_loss,trending_up,5
603.0,39294.77992846837,604.0,39609.13816789612,SELL,0.05564577084147936,-87.46353276663666,-0.8746353276663666,stop_loss,quiet,5
622.0,38749.02484651381,623.0,38439.0326477417,BUY,0.055978069672835716,-86.76382450450356,-0.8676382450450356,stop_loss,quiet,5
625.0,38512.85033258026,629.0,37827.73512948896,SELL,0.03724718423643359,127.59306096361632,1.2759306096361631,stop_loss,trending_down,5
710.0,34123.11511950873,719.0,34206.604084773746,BUY,0.06380605792522234,26.635508769082534,0.26635508769082533,stop_loss,quiet,5
