timestamp,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2024-12-16,224.26,227.56,213.26,216.19,3863409.201,1734393599999,847551475.4492499,2819674,1935265.701,424478385.82208,0
2024-12-17,216.19,228.95,211.36,223.15,5177736.748,1734479999999,1148991395.56908,3540116,2570356.313,570952793.9277,0
2024-12-18,223.16,226.04,204.8,206.53,5565926.563,1734566399999,1191309782.42507,3308807,2602999.847,557611489.9157,0
2024-12-19,206.53,212.14,187.0,193.81,7402649.886,1734652799999,1481798971.45023,2909503,3442409.275,688753662.03428,0
2024-12-20,193.82,199.81,175.26,194.48,9793383.668,1734739199999,1829760754.5958,2947219,4943658.21,924182860.09837,0
2024-12-21,194.48,201.98,178.3,181.45,5243572.617,1734825599999,988401321.05068,1709667,2452587.76,462986002.29171,0
2024-12-22,181.46,187.87,176.88,180.52,3573368.972,1734911999999,650666980.95565,1394689,1740362.645,317003602.73975,0
2024-12-23,180.53,193.48,176.48,190.11,4217664.03,1734998399999,778371475.46434,1557287,2208170.086,407840136.01235,0
2024-12-24,190.12,199.0,186.13,197.09,2709577.672,1735084799999,525181703.2473,1127114,1379796.38,267596220.13043,0
2024-12-25,197.09,201.85,195.0,197.44,1958644.487,1735171199999,388541679.68554,1035650,997909.9,198045835.98398,0
2024-12-26,197.45,199.71,186.54,188.46,2045566.1,1735257599999,392011204.61471,1279313,990226.896,189788196.51668,0
2024-12-27,188.46,194.39,182.74,184.22,1946509.645,1735343999999,366402095.63853,1296546,991253.947,186568922.84013,0
2024-12-28,184.22,196.1,183.82,195.5,1494847.867,1735430399999,283725173.66562,840578,782994.954,148676850.0222,0
2024-12-29,195.5,197.71,188.57,189.94,1560190.019,1735516799999,302551036.41535,861977,762049.051,147913892.68932,0
2024-12-30,189.94,196.47,185.89,191.38,2415985.488,1735603199999,462392599.37737,1417191,1219312.689,233426206.42575,0
2024-12-31,191.37,199.27,188.04,189.31,2461978.262,1735689599999,476451076.66598,1249847,1259409.035,243744394.61628,0
2025-01-01,189.31,195.33,188.0,194.28,1655160.102,1735775999999,316558431.70699,865024,857581.801,163984899.35831,0
2025-01-02,194.28,210.48,193.43,208.31,3224923.982,1735862399999,660170412.599,1615355,1719021.33,351938125.20254,0
2025-01-03,208.3,219.83,205.63,217.99,3251086.556,1735948799999,694370536.02236,1394237,1695959.554,362159960.77775,0
2025-01-04,218.0,218.18,213.54,216.67,1943711.39,1736035199999,420200326.94243,890249,975959.843,211027480.2145,0
2025-01-05,216.67,219.05,211.46,213.41,2101040.545,1736121599999,451130694.57664,902175,988852.241,212589805.04426,0
2025-01-06,213.41,223.18,211.56,218.22,2855362.858,1736207999999,621928433.92415,1394456,1485386.636,323715215.36912,0
