timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-12-10,3919.07,4069.99,3600.0,3690.1,69776.013,1733875199999,262687112.71724,29441,22010.057,82946803.06931,0
2024-12-11,3704.22,3880.0,3610.0,3876.9,16706.065,1733961599999,63079148.77208,16340,10616.247,40430426.36095,0
2024-12-12,3876.9,4030.0,3830.0,3939.18,17203.52,1734047999999,67253349.29132,13015,9613.799,37981897.18746,0
2024-12-13,3939.18,4499.0,3853.19,4299.86,145996.78,1734134399999,600317357.89471,9825,79695.807,334129892.22218,0
2024-12-14,4299.86,4450.59,3755.1,4383.9,69763.607,1734220799999,283039218.32921,6228,23215.751,98996606.87326,0
2024-12-15,4383.9,4383.9,4000.1,4050.0,11769.879,1734307199999,49461861.76088,4772,8206.824,34911068.27195,0
2024-12-16,4050.0,4498.9,4040.0,4398.07,27058.5,1734393599999,114500091.11899,9187,16094.680,69576674.36277,0
2024-12-17,4398.07,4399.57,4180.0,4330.0,12575.968,1734479999999,54144869.90489,10026,4610.348,20170042.19238,0
2024-12-18,4330.0,4378.89,4080.0,4200.0,14716.943,1734566399999,61972116.02285,21468,5585.544,23936993.47393,0
2024-12-19,4200.0,4220.0,3577.48,3883.03,110275.432,1734652799999,428808215.68738,30780,38808.907,155040695.34291,0
2024-12-20,3883.03,3999.99,2459.23,3489.9,63784.951,1734739199999,207189739.31835,27408,28370.173,92146036.75276,0
2024-12-21,3489.9,3559.99,3202.11,3361.01,35570.945,1734825599999,123959336.58545,8838,24979.869,87917683.69345,0
2024-12-22,3361.11,3440.0,3111.01,3288.9,56406.004,1734911999999,186038322.76840,8511,30281.206,101820805.85904,0
2024-12-23,3288.9,3500.0,3136.1,3444.47,32734.046,1734998399999,109923358.63182,10583,20652.692,70470974.83929,0
2024-12-24,3444.37,3600.0,3320.01,3535.0,23761.265,1735084799999,82791941.80017,11070,13437.426,47412058.69714,0
2024-12-25,3541.46,3600.0,3140.0,3495.12,70669.731,1735171199999,240060135.67009,9874,29267.259,102787813.79895,0
2024-12-26,3490.0,3598.0,3300.12,3487.9,19947.607,1735257599999,69013537.54891,20110,10490.385,36856786.73747,0
2024-12-27,3487.9,3530.0,3300.24,3485.72,26825.731,1735343999999,91952741.49860,29953,15080.405,52273053.16492,0
2024-12-28,3485.72,3510.38,3360.56,3460.0,12598.203,1735430399999,43386305.90285,30662,6371.582,22221352.88504,0
2024-12-29,3460.0,3529.88,3326.95,3350.24,12539.668,1735516799999,43142111.02716,34251,6214.309,21687428.21075,0
2024-12-30,3350.24,3488.0,3350.14,3406.0,14062.23,1735603199999,47662970.96748,17030,5574.443,19140778.56567,0
2024-12-31,3406.0,3599.77,3350.18,3500.1,35424.917,1735689599999,123331678.31223,13176,26971.481,94171913.36195,0
2025-01-01,3508.53,3599.65,3500.0,3546.51,15814.501,1735775999999,56135637.69590,7927,11035.865,39304561.78486,0
2025-01-02,3546.51,4550.1,3502.0,3640.35,19001.395,1735862399999,69507572.72707,12934,12858.558,47042878.99772,0
2025-01-03,3658.56,3685.93,3550.0,3655.0,38418.617,1735948799999,138547336.79040,11212,4826.015,17722599.87330,0
2025-01-04,3647.17,3684.0,3627.0,3682.8,14647.059,1736035199999,53632289.34537,13486,7551.762,27786923.25592,0
2025-01-05,3671.73,3683.0,3634.1,3634.31,9754.03,1736121599999,35685681.22694,5491,4471.574,16426454.36628,0
2025-01-06,3634.31,3890.0,3634.1,3650.0,19474.947,1736207999999,71822418.30093,11841,13886.729,51383008.83310,0
2025-01-07,3681.11,4291.35,3326.95,3494.87,30103.48,1736294399999,110972661.23771,23460,11598.764,44131728.91941,0
2025-01-08,3489.89,3494.89,3139.03,3274.14,35930.374,1736380799999,118459829.51348,18497,9021.109,30184554.84314,0
2025-01-09,3255.98,3550.0,3139.03,3291.69,25261.487,1736467199999,84580984.09430,27600,9651.247,32704690.29731,0
2025-01-10,3277.64,3780.11,3140.0,3420.71,22447.379,1736553599999,76840615.55535,35289,11570.478,40332174.65074,0
2025-01-11,3402.43,3590.0,3150.0,3534.54,13503.14,1736639999999,45793923.65942,37393,6831.009,23632804.54759,0
2025-01-12,3516.19,3539.08,3140.0,3295.0,13937.087,1736726399999,46333389.69419,30902,7206.238,24327693.61429,0
2025-01-13,3318.25,3550.0,2860.0,3205.0,34228.28,1736812799999,107764513.48443,31451,8774.995,28938226.58285,0
2025-01-14,3200.88,3500.0,2920.0,3280.52,11795.156,1736899199999,38281460.66374,21368,6206.994,20624269.61326,0
2025-01-15,3297.47,3318.3,3140.2,3289.16,17070.298,1736985599999,55583405.22477,16289,12380.389,40510988.72438,0
2025-01-16,3289.16,3318.3,3190.01,3306.4,22838.89,1737071999999,74968393.12459,13113,12525.504,41380005.96500,0
2025-01-17,3306.73,3490.0,3275.99,3397.68,20357.223,1737158399999,68404613.83557,16393,11582.401,39205273.12061,0
2025-01-18,3407.5,3489.0,3300.0,3426.16,14954.605,1737244799999,50420155.62369,13208,6963.535,23760747.48976,0
2025-01-19,3426.16,3520.0,3095.54,3342.37,18006.376,1737331199999,60371926.79350,11544,5734.618,19626314.20151,0
2025-01-20,3342.37,3497.88,3150.0,3200.1,17448.723,1737417599999,59995922.31545,19786,8522.958,29745400.12434,0
2025-01-21,3224.1,3497.78,3200.0,3416.33,11145.424,1737503999999,38230034.67435,24317,5524.351,19202568.97009,0
2025-01-22,3437.61,3587.0,3392.51,3455.54,15393.795,1737590399999,53423417.02209,39334,7642.111,26744685.79385,0
2025-01-23,3484.57,3749.99,3427.26,3664.99,16436.901,1737676799999,58184544.30735,24171,8536.659,30574374.48729,0
2025-01-24,3664.99,3800.0,3460.0,3700.01,12256.266,1737763199999,44389661.00581,26815,5864.798,21732260.22982,0
2025-01-25,3700.0,3708.0,3500.0,3581.05,15392.891,1737849599999,55927606.70986,24611,7563.969,27960924.42829,0
2025-01-26,3581.05,3704.18,3510.0,3594.37,12376.787,1737935999999,44824270.05861,18254,5824.529,21389160.21293,0
2025-01-27,3594.37,3708.9,2880.0,3575.19,40665.748,1738022399999,133068689.85248,30939,12004.197,40518820.97170,0
2025-01-28,3588.48,3620.11,3100.02,3170.1,17380.454,1738108799999,60257832.60668,7895,5780.088,20724557.94596,0
2025-01-29,3170.1,3560.0,3170.0,3360.11,9429.291,1738195199999,31766579.14223,9091,4322.206,15041282.17214,0
2025-01-30,3360.11,3519.2,3200.0,3443.51,11258.307,1738281599999,38486284.52148,13599,6390.282,22339428.35457,0
2025-01-31,3456.18,3509.92,3300.1,3380.79,10768.94,1738367999999,36879784.30698,14088,5724.637,19936465.70912,0
2025-02-01,3419.01,3493.8,3324.14,3370.14,12607.72,1738454399999,42941481.79376,9983,6523.607,22572530.35615,0
2025-02-02,3370.14,3465.89,2950.0,3142.73,22451.535,1738540799999,72892295.52444,13305,5161.356,17482914.82428,0
2025-02-03,3142.73,3312.9,2522.71,2900.0,57921.782,1738627199999,166866284.74311,21196,10971.645,32563189.08363,0
2025-02-04,2919.35,3250.0,2741.0,3178.9,25810.349,1738713599999,77722478.61902,19771,16996.365,51700918.84190,0
2025-02-05,3081.21,3179.0,2801.27,2900.0,23541.961,1738799999999,71738338.17186,24105,7809.039,24650009.91348,0
2025-02-06,2921.1,3174.0,2802.01,2951.21,16108.319,1738886399999,49213414.05771,18849,10201.239,31814748.03075,0
2025-02-07,2951.21,3142.0,2951.1,3139.89,19981.565,1738972799999,60901520.56356,12937,9544.100,29547012.58680,0
2025-02-08,3119.75,3139.99,2677.14,2905.21,38569.031,1739059199999,110764639.61878,17785,13429.536,39206283.82230,0
2025-02-09,2921.41,3101.8,2825.61,2920.14,18907.109,1739145599999,56634692.06640,18630,8540.072,26206481.14010,0
2025-02-10,2923.13,3093.88,2681.02,2924.38,36209.466,1739231999999,103256802.34248,24747,9225.047,27595629.02349,0
2025-02-11,2976.96,3064.86,2700.2,3000.51,20550.19,1739318399999,60540960.38157,15437,8845.458,26433435.84859,0
