2025-03-15 17:02:49,562 - integrated_backtest - INFO - Ngày 2025-01-23 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,565 - integrated_backtest - INFO - Ngày 2025-01-24 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,567 - integrated_backtest - INFO - Ngày 2025-01-25 13:00:00: Thị trường BULL, chọn mức rủi ro aggressive (15.0%)
2025-03-15 17:02:49,569 - integrated_backtest - INFO - Ngày 2025-01-26 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,572 - integrated_backtest - INFO - Ngày 2025-01-27 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,574 - integrated_backtest - INFO - Ngày 2025-01-28 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,576 - integrated_backtest - INFO - Ngày 2025-01-29 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,579 - integrated_backtest - INFO - Ngày 2025-01-30 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,582 - integrated_backtest - INFO - Ngày 2025-01-31 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,587 - integrated_backtest - INFO - Ngày 2025-02-01 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,590 - integrated_backtest - INFO - Ngày 2025-02-02 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,593 - integrated_backtest - INFO - Ngày 2025-02-03 13:00:00: Thị trường BEAR, chọn mức rủi ro conservative (5.0%)
2025-03-15 17:02:49,595 - integrated_backtest - INFO - Ngày 2025-02-04 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,597 - integrated_backtest - INFO - Ngày 2025-02-05 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,600 - integrated_backtest - INFO - Ngày 2025-02-06 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,602 - integrated_backtest - INFO - Ngày 2025-02-07 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,604 - integrated_backtest - INFO - Ngày 2025-02-08 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,607 - integrated_backtest - INFO - Ngày 2025-02-09 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,610 - integrated_backtest - INFO - Ngày 2025-02-10 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,612 - integrated_backtest - INFO - Ngày 2025-02-11 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,615 - integrated_backtest - INFO - Ngày 2025-02-12 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,618 - integrated_backtest - INFO - Ngày 2025-02-13 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,621 - integrated_backtest - INFO - Ngày 2025-02-14 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
