timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignored
2024-02-01,0.5033,0.5107,0.49,0.5058,339711167.0,1706831999999,169136077.9874,168991,160996149.00000000,80158781.96110000,0
2024-02-02,0.5057,0.5142,0.4987,0.5105,362229325.0,1706918399999,182866296.7909,152511,190968129.00000000,96412843.45790000,0
2024-02-03,0.5106,0.527,0.506,0.5186,268503943.0,1707004799999,139267739.442,154948,127270266.00000000,66021980.20770000,0
2024-02-04,0.5187,0.5192,0.5003,0.5032,156461025.0,1707091199999,79994272.0065,95974,73971373.00000000,37812835.47910000,0
2024-02-05,0.5031,0.5143,0.4969,0.5069,316744221.0,1707177599999,160199486.0272,149666,173819060.00000000,87899722.63670000,0
2024-02-06,0.5069,0.5112,0.4981,0.505,296361361.0,1707263999999,149476117.6586,144258,152082047.00000000,76723855.74500000,0
2024-02-07,0.505,0.5155,0.4993,0.5138,337065844.0,1707350399999,170065835.6946,161884,165550763.00000000,83558748.20240000,0
2024-02-08,0.5138,0.52,0.5101,0.5147,319558939.0,1707436799999,164331767.5466,164228,158521878.00000000,81517935.98460000,0
2024-02-09,0.5146,0.5282,0.514,0.5262,381663993.0,1707523199999,199001954.3944,186874,205102073.00000000,106941819.73450000,0
2024-02-10,0.5262,0.5282,0.5186,0.5239,136051851.0,1707609599999,71203753.3982,86130,66497370.00000000,34800810.84590000,0
2024-02-11,0.5239,0.536,0.5216,0.5261,218992618.0,1707695999999,115829056.7134,125536,109908035.00000000,58115133.51300000,0
2024-02-12,0.5262,0.538,0.5143,0.5315,383946428.0,1707782399999,201577676.5218,199481,197127630.00000000,103433830.59890000,0
2024-02-13,0.5315,0.5338,0.514,0.5247,398803382.0,1707868799999,209569577.3208,194280,206855121.00000000,108719704.89340000,0
2024-02-14,0.5246,0.5418,0.5203,0.5378,402071120.0,1707955199999,213698498.0764,188685,206968267.00000000,109975894.66500000,0
2024-02-15,0.5378,0.5769,0.537,0.5622,640584098.0,1708041599999,354054978.0784,353387,317334840.00000000,175413521.54370000,0
2024-02-16,0.5622,0.5791,0.5523,0.5643,522111567.0,1708127999999,295713042.1994,296142,264118925.00000000,149603299.46590000,0
2024-02-17,0.5643,0.5655,0.5392,0.5496,254033578.0,1708214399999,140263782.4244,152381,121852579.00000000,67270483.22150000,0
2024-02-18,0.5496,0.5625,0.5471,0.5571,199644484.0,1708300799999,110984253.3261,135531,98575047.00000000,54799523.10180000,0
2024-02-19,0.557,0.5679,0.5538,0.5626,361659945.0,1708387199999,202602289.0949,197222,185729878.00000000,104043339.90070000,0
2024-02-20,0.5626,0.5751,0.543,0.5622,577494529.0,1708473599999,324956172.6769,347428,289569925.00000000,162925101.38440000,0
2024-02-21,0.5622,0.5629,0.5326,0.5491,443537294.0,1708559999999,241554955.7311,253472,223731706.00000000,121835371.62370000,0
2024-02-22,0.549,0.5517,0.5366,0.541,363824441.0,1708646399999,198108906.342,196071,175257505.00000000,95422300.26410000,0
2024-02-23,0.541,0.5437,0.5251,0.5342,435074448.0,1708732799999,232931615.3245,221534,223369807.00000000,119608230.21420000,0
2024-02-24,0.5342,0.5481,0.5313,0.545,201672485.0,1708819199999,109408023.8935,120313,100364228.00000000,54463286.39400000,0
2024-02-25,0.5449,0.5489,0.542,0.5425,200338025.0,1708905599999,109195370.4684,114078,106415186.00000000,58004665.32140000,0
2024-02-26,0.5424,0.5528,0.5288,0.5506,442051388.0,1708991999999,239159787.0654,223551,230815296.00000000,124909184.86520000,0
2024-02-27,0.5506,0.5976,0.5476,0.5861,852720045.0,1709078399999,484204806.3153,483468,430326843.00000000,244384752.12880000,0
2024-02-28,0.5862,0.6059,0.53,0.575,1038133713.0,1709164799999,600527436.5215,674605,512812609.00000000,296742517.94160000,0
2024-02-29,0.5749,0.626,0.5669,0.5867,1323123117.0,1709251199999,789799237.6854,795539,658100683.00000000,392934252.86110000,0
2024-03-01,0.5868,0.6034,0.5829,0.6013,545783016.0,1709337599999,323258854.7415,346164,265771951.00000000,157413352.10960000,0
2024-03-02,0.6013,0.6501,0.5993,0.6442,891150692.0,1709423999999,561098506.1994,628347,436923827.00000000,275269534.15000000,0
2024-03-03,0.6442,0.6446,0.59,0.6271,626556050.0,1709510399999,390250378.2574,459635,301497757.00000000,187798619.87490000,0
2024-03-04,0.6271,0.666,0.615,0.6477,1053563753.0,1709596799999,680037933.8019,745606,518667854.00000000,334659993.19450000,0
2024-03-05,0.6476,0.6685,0.5386,0.5912,1554937673.0,1709683199999,971210812.6012,1151483,745722854.00000000,466623879.82960000,0
2024-03-06,0.5913,0.624,0.5754,0.6121,832599729.0,1709769599999,501543922.8642,589115,416245016.00000000,250773559.55520000,0
2024-03-07,0.6121,0.6394,0.6064,0.627,789389082.0,1709855999999,491723629.8708,508718,383645472.00000000,238998829.08170000,0
2024-03-08,0.6271,0.6338,0.6,0.62,648298999.0,1709942399999,403359268.7297,446228,328285099.00000000,204286814.54050000,0
2024-03-09,0.62,0.6323,0.6158,0.6197,399105613.0,1710028799999,248795359.0,268485,195175068.00000000,121642577.88270000,0
2024-03-10,0.6198,0.6278,0.5965,0.608,431213931.0,1710115199999,265437261.5992,287088,207140038.00000000,127487939.54650000,0
2024-03-11,0.608,0.744,0.583,0.723,2035920643.0,1710201599999,1397085361.7244,1463819,1031600139.00000000,706794694.49810000,0
2024-03-12,0.723,0.7332,0.6585,0.688,1164823272.0,1710287999999,809486248.4053,924010,570914503.00000000,396867270.57700000,0
2024-03-13,0.688,0.7026,0.6684,0.6891,629718012.0,1710374399999,433287999.4329,451985,319099699.00000000,219548097.46910000,0
2024-03-14,0.6891,0.7077,0.6378,0.669,866913230.0,1710460799999,586214978.9612,668294,428415640.00000000,289875206.75400000,0
2024-03-15,0.669,0.6759,0.596,0.6342,1046569627.0,1710547199999,659887905.8484,787687,500558874.00000000,315726640.28650000,0
