open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore,timestamp
1734163200000,100522.5,101000.0,99571.1,100999.8,61.318,1734166799999,6166791.44410,1451,38.915,3921868.31180,0,2024-12-14 08:00:00
1734166800000,100494.9,100997.1,99276.3,99280.1,149.721,1734170399999,14999641.83340,1884,72.058,7247519.25400,0,2024-12-14 09:00:00
1734170400000,99971.1,101999.9,99280.0,101977.2,499.676,1734173999999,50215236.99680,2116,259.731,26324614.23000,0,2024-12-14 10:00:00
1734174000000,101302.7,101990.0,99280.0,100242.1,153.362,1734177599999,15490158.13600,1981,77.515,7864363.42280,0,2024-12-14 11:00:00
1734177600000,100743.2,101990.0,99300.0,101400.0,190.962,1734181199999,19241702.20080,1994,55.209,5603383.11010,0,2024-12-14 12:00:00
1734181200000,100796.1,101586.7,100392.0,101000.0,73.402,1734184799999,7403290.56770,643,39.758,4019170.01940,0,2024-12-14 13:00:00
1734184800000,101129.9,102000.0,100392.0,101599.9,120.226,1734188399999,12164500.50680,1157,58.496,5935228.77770,0,2024-12-14 14:00:00
1734188400000,101600.0,101999.9,99752.0,100830.7,211.288,1734191999999,21341389.98370,1653,85.181,8645220.79290,0,2024-12-14 15:00:00
1734192000000,100830.7,101302.7,95069.1,100829.4,2981.91,1734195599999,288809306.70840,2095,189.026,18700472.93250,0,2024-12-14 16:00:00
1734195600000,101199.9,101300.0,98400.0,100222.0,135.031,1734199199999,13522819.35500,1656,67.440,6790840.56260,0,2024-12-14 17:00:00
1734199200000,100221.9,100636.0,96200.0,96975.0,981.35,1734202799999,94791586.02680,1039,49.617,4920849.78090,0,2024-12-14 18:00:00
1734202800000,96975.1,109378.1,96200.0,106900.0,3612.074,1734206399999,372684148.56650,3657,2910.694,302522973.74130,0,2024-12-14 19:00:00
1734206400000,106899.9,107400.0,99752.0,101032.4,185.291,1734209999999,19379464.73470,3178,124.818,13242382.34870,0,2024-12-14 20:00:00
1734210000000,100796.1,104000.0,99782.9,100796.1,41.255,1734213599999,4194828.22050,1737,17.086,1759921.96060,0,2024-12-14 21:00:00
1734213600000,101576.0,103835.6,99786.0,101022.4,58.252,1734217199999,5943586.85440,2222,29.940,3090916.44210,0,2024-12-14 22:00:00
1734217200000,101500.0,103900.0,99786.0,101647.6,32.72,1734220799999,3332084.64590,1836,16.545,1703321.66570,0,2024-12-14 23:00:00
1734220800000,101622.4,103906.6,99786.0,101239.9,44.642,1734224399999,4562526.83200,1887,22.342,2308748.55760,0,2024-12-15 00:00:00
1734224400000,101138.6,103906.6,99786.0,100481.1,33.771,1734227999999,3399704.77550,855,8.327,848609.64270,0,2024-12-15 01:00:00
1734228000000,100638.8,103906.6,99786.0,101296.2,96.999,1734231599999,9856818.13570,4699,46.648,4777542.01410,0,2024-12-15 02:00:00
1734231600000,101296.2,103928.8,99800.0,102610.3,53.482,1734235199999,5412038.62780,2917,31.310,3189407.86000,0,2024-12-15 03:00:00
1734235200000,103289.5,103928.8,99786.0,101341.2,42.984,1734238799999,4374690.32110,1864,24.645,2526499.71410,0,2024-12-15 04:00:00
1734238800000,101586.1,103997.0,99786.0,101611.2,100.301,1734242399999,10280249.01700,1964,51.871,5377898.62850,0,2024-12-15 05:00:00
1734242400000,101611.2,103112.9,101146.5,101146.6,79.558,1734245999999,8118879.45310,2516,31.748,3262243.28510,0,2024-12-15 06:00:00
1734246000000,101682.8,102880.0,99786.1,102196.4,72.65,1734249599999,7371126.81230,834,22.478,2299141.81650,0,2024-12-15 07:00:00
1734249600000,102196.4,102880.0,99786.0,102299.9,90.285,1734253199999,9149144.48110,2040,38.126,3903553.55440,0,2024-12-15 08:00:00
